Dao_title,categories,about,blockchain,followers
yog8 dao,['Social Impact'],"Yog8 DAO encourages wellness in Web3 by offering financial incentives for meditation and Yoga to normalize Self-care and Sacred Geometry animated Yoga Boss NFTs with Chakra frequency music to induce a meditative experience.
 Yog8 DAO is a Yoga-centered social impact DAO providing a mental health wellness metaverse to incentivize Self-care by merging gamification with meditation by offering financial rewards for individual and community meditation and Yoga sessions. We believe Yoga and meditation are free mental health tools that should be easily accessible, and our goal is to share Yoga and meditation with 1 billion people worldwide to normalize Self-care practices for the well-being of our global community.
Conscious contributions include sacred geometry animated Yoga Boss NFT’s with Chakra frequency music for an immediate meditative immersion in addition to the $YOG8 DAO mental health wellness metaverse platform providing instant access to Yoga, meditation, holistic health therapies and global Yoga retreats.
",Ethereum,0.0
lit protocol dao,"['DAO Tools', 'Protocol']","Decentralized access control infrastructure designed to bring more utility to the web https://litgateway.com/
",Ethereum,20600.0
minmax dao,['Investment'],"The IoTeX native cross-chain pegged assets AMM to MINimize fee and MAXimize yield for everyone!
",Ethereum,0.0
blockade games dao,"['DAO Tools', 'Gaming']","Leading blockchain video game development studio
",Ethereum,13100.0
the lao dao,"['other', 'other']","The LAO is a limited-liability, for-profit DAO that aims to be compliant with U.S. law and uses smart contracts to organize commercial affairs.
",,0.0
grim finance dao,['other'],"Boosted Vaults, complex vault strategies built on Fantom. Reap more crypto, with crypto.
",,0.0
vincent dao,"['DAO Tools', 'Media', 'Collector']","Search engine for investment opportunities
",Ethereum,2900.0
shapeshift dao,['DeFi'],"ShapeShift believes that the world deserves an open-source, privacy-forward, non-custodial partner in the growing DeFi and Web3 universe.
 Free. Private. Decentralized. Community Owned DeFi web and mobile app. ShapeShift values that you are always in control of: Your keys, your crypto. Your data, your privacy. Don’t settle for a platform that offers less.
Since 2014, ShapeShift has been pioneering self-custody for digital asset trading. Today’s ShapeShift DAO is an engaged community of builders working to advance the state of crypto trading, investing, and access to open, decentralized financial systems. Our web and mobile platforms empower users to safely buy, hold, trade, invest and interact with thousands of digital assets such as Bitcoin, Ethereum, and Cosmos.
ShapeShift has long been a pioneer in the crypto space: the organization was the first major platform to offer cross-blockchain trades, the first company to fully decentralize all corporate operations, and issued the largest airdrop to date when it became a DAO.
All Chains, All Protocols, All Wallets. Share Our Vision at app.shapeshift.com.
",Ethereum,136400.0
bolddao,"['Collector', 'DeFi', 'other', 'Social', 'Social Impact']","We are building a community for the Boldest People across the world to do the boldest things in supporting free speech, art and social causes.
",Solana,0.0
winter bears dao,"['other', 'other', 'other', 'other']","Winter Bears is a collection of 10,000 adorable polar bear NFTs available on the Ethereum blockchain.
",,0.0
movie studio dao,"['other', 'other', 'other', 'other', 'other']","The filmmaker’s crypto fundraising launchpad.
",,0.0
4k dao,['Social'],"A permissionless marketplace for NFTs backed by physical assets––where users can mint NFTs that represent ownership of their physical assets.
",Ethereum,4100.0
eboos dao,"['other', 'other', 'other', 'other']","A collection of 8,192 sleepless birds living on the Ethereum blockchain.
",,0.0
pixel heroes dao,"['other', 'other', 'other', 'other']","Japan’s first generative collection. A place where everyone can be a hero. We are looking for you.
",,0.0
silo finance dao,"['other', 'other']","Providing secure money markets for all crypto assets.
",,0.0
stakeborg dao,"['other', 'other']","Stakeborg DAO plans to build a fully functional & profitable digital colony.
",,0.0
governauts dao,['Social'],"We share a common purpose of research into many dimensions of governance and token systems!
",Ethereum,1100.0
spartacus dao,"['other', 'other', 'other', 'other']","DeFi 2.0 tools to grow your crypto assets
",,0.0
tag dao llc dao,['Gaming'],"TAG DAO LLC (CollarQuest) - A Fully Community-Organized NFT Gaming Experience
 The Dog Collar Metaverse game project under development has been dubbed CollarQuest. CollarQuest will be a fun and engaging game which can be played on any desktop, laptop, or device.
",Polygon,1800.0
data union dao,"['DAO Tools', 'Protocol']","We want to be at the centre of the Data Union Ecosystem, empowering builders to launch Data Unions by providing them with the technology, mentorship & funding opportunities.
 The DAO is an open community of builders and UNION token holders. It is responsible for developing the Data Union Framework technology and growing the ecosystem. It governs the technology and UNION token economics via token-based voting.
",Ethereum,0.0
civilization dao,"['DeFi', 'Social']","The world’s first DEX (Decentralized) Fund: transforming Defi staking and investment, using 100% auditable code and automated multi-strategy selection – giving maximum yield at minimum risk with superb ease of use
",Ethereum,18500.0
hector finance dao,"['DeFi', 'Gaming', 'Investment', 'Metaverse', 'other', 'Social Impact', 'Venture Capital']","Hector Finance is a decentralized protocol based on the HEC token. We are developing an ecosystem which will consist of various innovative developments and applications that will set us apart from the competition. Hector is community guided with $HEC holders deciding the future.
 Hector Finance is creating a suite of use cases which will provide true utility to the $HEC token.
Profits from the ecosystem will be used to buyback and burn tokens from the open market,
allowing $HEC to be deflationary over time.
Hector Finance operates the world’s first deflationary rebase token. This means that those who stake our
native $HEC token receive rewards from rebases, as well as the inherent rewards of a deflationary token.
Our token supply peaked at 3,530,424. Within two months of setting the goal of becoming deflationary
we achieved a 14% reduction in the total supply of HEC tokens.
In the final quarter of 2021, Hector Finance built a treasury of more than $100,000,000 in stablecoins
by offering bonds of the HEC token at a discount to market prices. We now have one of the largest
development funds of any project in the space. We are using those funds to develop a suite of products
and services to aid the expansion of the Hector Ecosystem. Whilst not in use, the majority of the treasury
is invested. Assuming moderate performance of these investments, we can accumulate more than
$10,000,000 per year from interest alone into the treasury to support further development costs.
On March 29th 2022, the Hector Finance Community voted to begin an emission plan which will create
a fixed supply cap for the HEC token.
The progression of the emission plan means we can guarantee how many tokens will be minted as
well as guarantee a supply cap for HEC whilst still making predictable changes to the APY over time.
Additionally, the plan allows us to invite users to lock their tokens for a boosted reward, reducing selling
pressure.
",,0.0
jinn dao,['Protocol'],"JINN DAO invests in early-stage projects and promising inidividuals in the NFT space. It is the community DAO for Enjin, which BUIDLs gaming, arts, infrastructure and other NFT products, including a wallet and a marketplace.
",Ethereum,551400.0
