Unnamed: 0,Dao_title,categories,about,simdaos,sim-text,chain,keyphrases
0,DAOHQ - Yog8 DAO,['Social Impact'],"Yog8 DAO encourages wellness in Web3 by offering financial incentives for meditation and Yoga to normalize Self-care and Sacred Geometry animated Yoga Boss NFTs with Chakra frequency music to induce a meditative experience.
 Yog8 DAO is a Yoga-centered social impact DAO providing a mental health wellness metaverse to incentivize Self-care by merging gamification with meditation by offering financial rewards for individual and community meditation and Yoga sessions. We believe Yoga and meditation are free mental health tools that should be easily accessible, and our goal is to share Yoga and meditation with 1 billion people worldwide to normalize Self-care practices for the well-being of our global community.
Conscious contributions include sacred geometry animated Yoga Boss NFT’s with Chakra frequency music for an immediate meditative immersion in addition to the $YOG8 DAO mental health wellness metaverse platform providing instant access to Yoga, meditation, holistic health therapies and global Yoga retreats.
","['Antidote DAO', 'BoldDao', 'Boss Beauties DAO', 'Carbonswap']","[['We are building a community for the Boldest People across the world to do the boldest things in supporting free speech, art and social causes.\n'], ['Your low-cost, sustainable DeFi & NFT ecosystem native on the Energy Web Chain\n', 'CarbonSwap is a family of interconnected green, sustainability-focused DeFi & NFT products, including initially an automated market-making (AMM) decentralized exchange (DEX) and a bi-directional ERC-to-ERC bridge (Omnibridge) between the Ethereum Mainnet and Energy Web Chain. \u200c\nCarbonSwap is meant to be a long-term creator vision- and community-driven effort with a weighted token-based governance model and a lot of fun\n'], ['Empowering girls and women at the forefront of technology, leadership, and creativity\n', 'For ten years we have been building a global family of the next generation of women and girls. This family of Gen Z social entrepreneurs, designers, and change-makers are at the heart of everything we do. The Boss Beauties Foundation is on a mission to make a difference providing mentorship programs and internships to women in High School and College, while funding scholarships for women in the community. Boss Beauties is an extension of the same passion and goals we have championed for the past decade. Proceeds from primary and secondary sales will go back to supporting the collection and token holders, as well as continue our mission to support young women in designing the life and career they love.\n'], ['AntidoteDAO is an Altruistic Web3 DAO Dedicated to Funding Various Cancer Initiatives\n', 'In traditional business models, companies are highly centralized and investors have little say in the future of those organizations. Typical charities also have high overhead costs and don’t allow you to decide what your money is funding. As Antidote moves to a DAO (Decentralized Autonomous Organization) framework, investors will have equal governance in how we operate and what we fund. We will begin with a more centralized structure and become gradually more decentralized over time. DAOs are not only companies but also communities. A higher level of collaboration and communication can be achieved through blockchain technology. We have the capability to be more successful and have a larger impact in the cancer research space than any traditional charity. Our goal isn’t to fund other nonprofits, but we’ll find them strategically to raise awareness of what we’re doing. Our ultimate goal is to seed fund new research that doesn’t have the funding opportunities elsewhere\n']]","['Ethereum', '89.0']","['addition' 'immediate meditative immersion'
 'mental health wellness metaverse platform' 'financial incentives'
 'chakra frequency music' 'yoga' 'well' 'web3' 'global community'
 'conscious contributions' 'people' 'holistic health therapies'
 'yoga boss nfts' 'mental health wellness metaverse' 'care'
 'sacred geometry' 'global yoga retreats' 'free mental health tools'
 'self' 'meditation' 'financial rewards' 'goal' 'community meditation'
 'meditative experience' 'gamification' 'yog8 dao' 'yoga sessions'
 'instant access' 'wellness' 'care practices' 'social impact dao'
 'yoga boss nft']"
1,DAOHQ - Lit Protocol DAO,"['DAO Tools', 'Protocol']","Decentralized access control infrastructure designed to bring more utility to the web https://litgateway.com/
","['88mph', 'APY Vision', '0x', '1inch Network']","[['the best place to start earning a fixed yield rate on assets secured with leading non-custodial fully on-chain protection measures\n'], ['Decentralized exchange infrastructure for the internet\n', 'Decentralized exchange infrastructure for the internet'], ['The 1inch Network unites decentralized protocols whose synergy enables the most lucrative, fastest and protected operations in the DeFi space.\n', 'The 1inch Network unites decentralized protocols whose synergy enables the most lucrative, fastest and protected operations in the DeFi space.'], ['All-in-one liquidity pool analytics and yield farming rewards tracking tool\n']]","['Ethereum', '20.6K']","['more utility' 'decentralized access control infrastructure'
 'web https://litgateway.com/']"
2,DAOHQ - MinMax DAO,['Investment'],"The IoTeX native cross-chain pegged assets AMM to MINimize fee and MAXimize yield for everyone!
","['80Acres DAO', 'Alpha Finance Lab', '8DAO', 'AngelDAO']","[['Distributed systems investment collective VentureDAO\n'], ['Our mission is to connect like-minded individuals, those with vast social capital, and community builders to participate in NFT/Web3/DAO space.\n', '8DAO is a membership-based Social DAO that gathers elites from different industries, and connects like-minded people, people with social capital and community builders to jointly build and invest in the Web3 ecosystem. As a Web3 community, 8DAO will explore the development and opportunities of WEB3, and members share their opinions, suggestions and news. Every week, 8DAO invites well-known NFT collectors, project leaders, and investment institutions in the industry to have in-depth discussions with members on different topics. 8DAO also collaborates with brands, creators and artists to invest and incubate different Web3 projects.\nApply to contribute: https://airtable.com/shrhD2FXyPpKBSTYT\n'], ['Build ideas of the blockchain on real land\n', '80Acres is a token created on the Algorand Blockchain. As a DAO token, we are able to harness the creativity and collected resources of the community to build something real on 80 acres of land located in Oklahoma. Through voting, these ideas are brought into the implementing stage and funding stage. The profits generated from the projects are shared to the token holders.\n'], ['Building an ecosystem of DeFi products that will interoperate to maximize returns while minimizing risks for users\n']]","['Ethereum', '55.0']",['assets amm' 'everyone' 'fee' 'native cross - chain' 'iotex']
3,DAOHQ - Blockade Games DAO,"['DAO Tools', 'Gaming']","Leading blockchain video game development studio
","['88mph', 'APY Vision', '0x', '1inch Network']","[['the best place to start earning a fixed yield rate on assets secured with leading non-custodial fully on-chain protection measures\n'], ['Decentralized exchange infrastructure for the internet\n', 'Decentralized exchange infrastructure for the internet'], ['The 1inch Network unites decentralized protocols whose synergy enables the most lucrative, fastest and protected operations in the DeFi space.\n', 'The 1inch Network unites decentralized protocols whose synergy enables the most lucrative, fastest and protected operations in the DeFi space.'], ['All-in-one liquidity pool analytics and yield farming rewards tracking tool\n']]","['Ethereum', '13.1K']",['blockchain video game development studio']
4,DAOHQ - The LAO DAO,"[' www.thelao.io', ' www.thelao.io']","The LAO is a limited-liability, for-profit DAO that aims to be compliant with U.S. law and uses smart contracts to organize commercial affairs.
",[],[],[],"['commercial affairs' 'u.s. law' 'profit dao' 'liability' 'lao'
 'smart contracts']"
5,DAOHQ - Grim Finance DAO,['0x117db...4cbbb'],"Boosted Vaults, complex vault strategies built on Fantom. Reap more crypto, with crypto.
",[],[],[],"['complex vault strategies' 'fantom' 'more crypto' 'boosted vaults'
 'crypto']"
6,DAOHQ - Vincent DAO,"['DAO Tools', 'Media', 'Collector']","Search engine for investment opportunities
","['88mph', 'APY Vision', '0x', '1inch Network']","[['the best place to start earning a fixed yield rate on assets secured with leading non-custodial fully on-chain protection measures\n'], ['Decentralized exchange infrastructure for the internet\n', 'Decentralized exchange infrastructure for the internet'], ['The 1inch Network unites decentralized protocols whose synergy enables the most lucrative, fastest and protected operations in the DeFi space.\n', 'The 1inch Network unites decentralized protocols whose synergy enables the most lucrative, fastest and protected operations in the DeFi space.'], ['All-in-one liquidity pool analytics and yield farming rewards tracking tool\n']]","['Ethereum', '2.9K']",['investment opportunities' 'search engine']
7,DAOHQ - ShapeShift DAO,['DeFi'],"ShapeShift believes that the world deserves an open-source, privacy-forward, non-custodial partner in the growing DeFi and Web3 universe.
 Free. Private. Decentralized. Community Owned DeFi web and mobile app. ShapeShift values that you are always in control of: Your keys, your crypto. Your data, your privacy. Don’t settle for a platform that offers less.
Since 2014, ShapeShift has been pioneering self-custody for digital asset trading. Today’s ShapeShift DAO is an engaged community of builders working to advance the state of crypto trading, investing, and access to open, decentralized financial systems. Our web and mobile platforms empower users to safely buy, hold, trade, invest and interact with thousands of digital assets such as Bitcoin, Ethereum, and Cosmos.
ShapeShift has long been a pioneer in the crypto space: the organization was the first major platform to offer cross-blockchain trades, the first company to fully decentralize all corporate operations, and issued the largest airdrop to date when it became a DAO.
All Chains, All Protocols, All Wallets. Share Our Vision at app.shapeshift.com.
","['About', 'ACryptoS', '88mph', '80Acres DAO', '1inch Network']","[['Build ideas of the blockchain on real land\n', '80Acres is a token created on the Algorand Blockchain. As a DAO token, we are able to harness the creativity and collected resources of the community to build something real on 80 acres of land located in Oklahoma. Through voting, these ideas are brought into the implementing stage and funding stage. The profits generated from the projects are shared to the token holders.\n'], ['Token farming community\n'], ['the best place to start earning a fixed yield rate on assets secured with leading non-custodial fully on-chain protection measures\n'], ['The 1inch Network unites decentralized protocols whose synergy enables the most lucrative, fastest and protected operations in the DeFi space.\n', 'The 1inch Network unites decentralized protocols whose synergy enables the most lucrative, fastest and protected operations in the DeFi space.']]","['Ethereum', '136.4K']","['protocols' 'wallets' 'largest airdrop' 'non - custodial partner' 'state'
 'investing' 'shapeshift dao' 'today' 'users' 'defi web'
 'financial systems' 'mobile platforms' 'bitcoin'
 'cross - blockchain trades' 'crypto' 'engaged community' 'privacy'
 'vision' 'organization' 'data' 'dao' 'shapeshift' 'custody' 'community'
 'crypto trading' 'platform' 'world' 'first major platform'
 'app.shapeshift.com' 'cosmos' 'first company' 'universe' 'hold'
 'ethereum' 'source' 'web' 'keys' 'date' 'self' 'control' 'digital assets'
 'crypto space' 'trade' 'mobile app' 'thousands' 'digital asset trading'
 'access' 'chains' 'corporate operations' 'pioneer' 'defi' 'builders'
 'shapeshift values']"
8,DAOHQ - BoldDao,"['Collector', 'DeFi', 'Service', 'Social', 'Social Impact']","We are building a community for the Boldest People across the world to do the boldest things in supporting free speech, art and social causes.
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","[['The world’s first programmable cryptoart platform built on the Ethereum blockchain\n', 'Explore limited editions of generative and provably random art collections made with Blueprints on Async Canvas. Also the first NFT music player on Apple.\n'], ['A collection of 10,000 born rich babies\n', 'Baby Wealthy Club is a brand created by a talented designer originally from BabySwap. After all the hard work and being recognized by the communities, she believes that her artifact can be more popular worldwide and not limited to the crypto world. To realize the bigger dream of her own, she has talked to the original team and showed the ambition and passion of starting her own NFT collection. The team stands by the decision, and provides support to the Baby Wealthy Club PFP holders. The artist and the BabySwap team share the same commercial rights of the use of Baby Avatar as agreed.\n'], ['Collection of 10000 unique Bored Ape NFTs\n'], ['APE DAO started with the fractionalization (token partition) of 50 valuable NFTs into APED erc-20 tokens, which serve holders governance over their NFTs. General governance is currently token-barred, moving towards community rule.\n']]","['Solana', '331.0']","['boldest people' 'art' 'community' 'social causes' 'boldest things'
 'world' 'free speech']"
9,DAOHQ - Winter Bears DAO,"[' t.co/NpPC9qFVrN Discord  Twitter ', ' t.co/NpPC9qFVrN', ' Discord ', ' Twitter ']","Winter Bears is a collection of 10,000 adorable polar bear NFTs available on the Ethereum blockchain.
",[],[],['12.0K'],"['adorable polar bear nfts' 'ethereum blockchain' 'collection'
 'winter bears']"
